output/traj10_set0_rep0_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set0_rep0_counts.csv:0,757,0,0,0,0,0,0,0,0.887860911283044,1.0,1.0,0.887860911283044
output/traj10_set0_rep0_counts.csv:347,3115,244,3,3,12,4,290,83,0.6650923578819605,0.9980107684302137,0.7581101985022151,0.8790614377042413
output/traj10_set0_rep0_counts.csv:694,3115,271,4,2,11,9,295,82,0.68595955363782,0.9971582406145912,0.7970018235711755,0.8631317018578549
output/traj10_set0_rep0_counts.csv:1042,3115,297,2,4,8,10,307,91,0.6597792983117102,0.996021536860428,0.7782988610126075,0.8511664640281327
output/traj10_set0_rep0_counts.csv:1389,3115,278,6,2,6,8,297,93,0.651780689320179,0.9931797774750191,0.7760729906071557,0.8456405054835672
output/traj10_set0_rep0_counts.csv:1736,3115,329,4,3,15,15,279,93,0.6478317394364494,0.9977265924916732,0.7806920128288843,0.8317541577080891
output/traj10_set0_rep0_counts.csv:2083,3115,308,3,2,14,10,286,85,0.641458862131644,0.9968740646760508,0.7861817280637537,0.8184772021678184
output/traj10_set0_rep0_counts.csv:2431,3115,255,3,3,9,11,302,82,0.6090182654578051,0.9971582406145914,0.7515489539701863,0.8126594901859872
output/traj10_set0_rep0_counts.csv:2778,3115,274,4,2,7,8,306,82,0.5826258654908137,0.9974424165531323,0.7278330479155377,0.8025888263347856
output/traj10_set0_rep0_counts.csv:3125,3115,291,1,3,8,10,298,80,0.5604895421368987,0.997158240614591,0.701559502123932,0.8011872655979715
output/traj10_set0_rep0_counts.csv:3472,3115,325,2,2,16,16,312,77,0.5629756805209194,0.9965898887375098,0.7140716412930994,0.7912780400282052
output/traj10_set0_rep1_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set0_rep1_counts.csv:0,757,0,0,0,0,0,0,0,0.887860911283044,1.0,1.0,0.887860911283044
output/traj10_set0_rep1_counts.csv:347,3115,264,3,4,4,10,295,84,0.6840475465142047,0.9982949443687547,0.7852514536910731,0.8726168535201013
output/traj10_set0_rep1_counts.csv:694,3115,301,3,3,15,11,310,67,0.561611881395459,0.9971256195040524,0.6538833923199142,0.8613178452399991
output/traj10_set0_rep1_counts.csv:1042,3115,288,4,3,13,11,292,88,0.5646848974341355,0.995737360921887,0.6654056202173408,0.8522516024245084
output/traj10_set0_rep1_counts.csv:1389,3115,268,2,5,14,10,300,89,0.6109471284197796,0.9968740646760504,0.72871066800876,0.8410318467808691
output/traj10_set0_rep1_counts.csv:1736,3115,318,1,1,7,14,308,70,0.5796825644024453,0.9980107684302141,0.6998757474085301,0.8299520618973546
output/traj10_set0_rep1_counts.csv:2083,3115,320,3,2,2,7,313,81,0.6110046678594633,0.9974424165531324,0.7496722812312099,0.8171218614422141
output/traj10_set0_rep1_counts.csv:2431,3115,286,0,2,12,6,299,80,0.5424132652080649,0.9965898887375095,0.6699960484336658,0.8123481247514339
output/traj10_set0_rep1_counts.csv:2778,3115,265,0,1,7,11,278,84,0.5876493550291104,0.9968740646760504,0.7323643864140322,0.8049346552337405
output/traj10_set0_rep1_counts.csv:3125,3115,258,4,4,5,8,309,79,0.6152738424671597,0.9963057127989684,0.767215021242946,0.8049319429305128
output/traj10_set0_rep1_counts.csv:3472,3115,275,2,1,8,7,260,92,0.6141042066350418,0.9982949443687549,0.772241179384671,0.796587347210082
output/traj10_set0_rep2_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set0_rep2_counts.csv:0,757,0,0,0,0,0,0,0,0.887860911283044,1.0,1.0,0.887860911283044
output/traj10_set0_rep2_counts.csv:347,3115,261,3,2,5,7,260,84,0.6017491966732184,0.9954531849833462,0.6890170409367168,0.8772935226342867
output/traj10_set0_rep2_counts.csv:694,3115,270,1,5,14,6,283,84,0.6106711410580963,0.9968740646760504,0.7069725632243986,0.8665791537082129
output/traj10_set0_rep2_counts.csv:1042,3115,259,1,2,9,13,295,68,0.6200397387367401,0.9965898887375095,0.7319578093403392,0.8499972939963526
output/traj10_set0_rep2_counts.csv:1389,3115,246,4,4,10,11,273,90,0.5682516179197711,0.9965898887375095,0.6779289745077529,0.8413320431545878
output/traj10_set0_rep2_counts.csv:1736,3115,302,5,1,14,13,276,86,0.6128358170177748,0.9968740646760504,0.7388772589855391,0.8319568484604345
output/traj10_set0_rep2_counts.csv:2083,3115,283,1,4,4,10,289,93,0.581338149982149,0.9968740646760504,0.7010712158507314,0.8318005896741193
output/traj10_set0_rep2_counts.csv:2431,3115,311,2,3,7,10,268,76,0.6156548245869773,0.9977265924916732,0.7478881833179519,0.8250814971403434
output/traj10_set0_rep2_counts.csv:2778,3115,241,2,3,9,8,306,93,0.6055269695663504,0.9982949443687547,0.742167183226417,0.817265630386744
output/traj10_set0_rep2_counts.csv:3125,3115,371,4,5,10,15,300,89,0.5646474023504269,0.9965898887375095,0.698521631627946,0.8111166809552478
output/traj10_set0_rep2_counts.csv:3472,3115,285,4,3,20,11,290,94,0.4699267509140457,0.9951690090448054,0.5897931717518365,0.8006079117091864
output/traj10_set0_rep3_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set0_rep3_counts.csv:0,757,0,0,0,0,0,0,0,0.887860911283044,1.0,1.0,0.887860911283044
output/traj10_set0_rep3_counts.csv:347,3115,233,0,2,6,10,290,92,0.6192313219925589,0.996305712798969,0.7090705083388025,0.8765521880046134
output/traj10_set0_rep3_counts.csv:694,3115,321,2,2,8,17,278,96,0.5588619021009008,0.9980107684302139,0.6484259062108454,0.8638376035945549
output/traj10_set0_rep3_counts.csv:1042,3115,190,0,4,5,4,284,94,0.5175702843777789,0.9968740646760504,0.6088985051710307,0.8528911113136911
output/traj10_set0_rep3_counts.csv:1389,3115,276,4,2,5,14,307,100,0.6431706216536981,0.996021536860428,0.7624453248876094,0.846932940598999
output/traj10_set0_rep3_counts.csv:1736,3115,234,2,1,12,10,309,80,0.5344188512213268,0.9994316481229182,0.6394315281653764,0.8362973005628
output/traj10_set0_rep3_counts.csv:2083,3115,256,1,3,14,8,293,76,0.5134112254217238,0.9968740646760504,0.6249226816305141,0.8245916294094381
output/traj10_set0_rep3_counts.csv:2431,3115,308,1,2,7,14,282,76,0.5707696120409808,0.9965898887375098,0.6996151794518465,0.8186444589094474
output/traj10_set0_rep3_counts.csv:2778,3115,273,2,0,7,12,291,78,0.5998690643567904,0.9982949443687547,0.7429546842043497,0.8088247843056284
output/traj10_set0_rep3_counts.csv:3125,3115,272,0,4,10,17,296,82,0.5858208300884351,0.9954531849833462,0.7315279352350164,0.8046404784072044
output/traj10_set0_rep3_counts.csv:3472,3115,256,3,4,12,8,297,83,0.5191652952651699,0.9965898887375099,0.6527870122030718,0.7980190278226169
output/traj10_set0_rep4_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set0_rep4_counts.csv:0,757,0,0,0,0,0,0,0,0.887860911283044,1.0,1.0,0.887860911283044
output/traj10_set0_rep4_counts.csv:347,3115,273,6,1,9,9,297,89,0.6098839236845622,0.9968740646760504,0.6977838127308947,0.8770336260904829
output/traj10_set0_rep4_counts.csv:694,3115,288,2,4,9,13,266,81,0.6581862904027993,0.9974424165531323,0.7669271045463271,0.8604420604733061
output/traj10_set0_rep4_counts.csv:1042,3115,283,3,7,12,10,292,85,0.4866155779346913,0.9977265924916728,0.5741235038141733,0.8494737461622075
output/traj10_set0_rep4_counts.csv:1389,3115,253,4,4,11,8,281,77,0.6148161276133679,0.9974424165531323,0.7375982914056173,0.8356320482776327
