aln_ids,outgroup_type,timepoints,n_timepoints,seq_in_timepoint,nseq,avg_nseq,earliest_sample,latest_sample,timespan,n_informative_sites,aln_length
10137+1+B,2,122-274-791-913-1278-1673-2038-2221-2434-2586-2768-2920,12,AF137907+AF137906+AF137905+AF137904+AF137903+AF137902+AF137901+AF137900+AF137899+AF137898-AF137917+AF137916+AF137915+AF137914+AF137913+AF137912+AF137911+AF137910+AF137909+AF137908-AF137927+AF137926+AF137925+AF137924+AF137923+AF137922+AF137921+AF137920+AF137919+AF137918-AF137939+AF137938+AF137937+AF137936+AF137935+AF137934+AF137933+AF137932+AF137931+AF137930+AF137929+AF137928-AF137948+AF137947+AF137946+AF137945+AF137944+AF137943+AF137942+AF137941+AF137940-AF137958+AF137957+AF137956+AF137955+AF137954+AF137953+AF137952+AF137951+AF137950+AF137949-AF137970+AF137969+AF137968+AF137967+AF137966+AF137965+AF137964+AF137963+AF137962+AF137961+AF137960+AF137959-AF137981+AF137980+AF137979+AF137978+AF137977+AF137976+AF137975+AF137974+AF137973+AF137972+AF137971-AF137994+AF137993+AF137992+AF137991+AF137990+AF137989+AF137988+AF137987+AF137986+AF137985+AF137984+AF137983+AF137982-AY348396+AY348395+AY348394+AY348393+AY348392+AY348391+AY348390+AY348389+AY348388+AY348387+AY348386+AY348385-AY348408+AY348407+AY348406+AY348405+AY348404+AY348403+AY348402+AY348401+AY348400+AY348399+AY348398+AY348397-AF138003+AF138002+AF138001+AF138000+AF137999+AF137998+AF137997+AF137996+AF137995,130,10.8333333333333,122,2920,2798,144,727
10138+1+B,2,91-304-517-882-1065-1247-1399-1612-1795-1977-2129-2464-2890-3072-3225-3437,16,AF138418+AF138417+AF138416+AF138415+AF138414+AF138413+AF138412-AF138428+AF138427+AF138426+AF138425+AF138424+AF138423+AF138422+AF138421+AF138420+AF138419-AF138436+AF138435+AF138434+AF138433+AF138432+AF138431+AF138430+AF138429+AF204649+AF204648+AF204647+AF204646+AF204645+AF204644+AF204643+AF204642+AF204641+AF204640-AF138444+AF138443+AF138442+AF138441+AF138440+AF138439+AF138438+AF138437-AF138452+AF138451+AF138450+AF138449+AF138448+AF138447+AF138446+AF138445-AF138460+AF138459+AF138458+AF138457+AF138456+AF138455+AF138454+AF138453+AF204660+AF204659+AF204658+AF204657+AF204656+AF204655+AF204654+AF204653+AF204652+AF204651+AF204650-AF138469+AF138468+AF138467+AF138466+AF138465+AF138464+AF138463+AF138462+AF138461-AF138477+AF138476+AF138475+AF138474+AF138473+AF138472+AF138471+AF138470-AF138486+AF138485+AF138484+AF138483+AF138482+AF138481+AF138480+AF138479+AF138478-AF138496+AF138495+AF138494+AF138493+AF138492+AF138491+AF138490+AF138489+AF138488+AF138487+AF204670+AF204669+AF204668+AF204667+AF204666+AF204665+AF204664+AF204663+AF204662+AF204661-AF138506+AF138505+AF138504+AF138503+AF138502+AF138501+AF138500+AF138499+AF138498+AF138497-AF138518+AF138517+AF138516+AF138515+AF138514+AF138513+AF138512+AF138511+AF138510+AF138509+AF138508+AF138507-AF138530+AF138529+AF138528+AF138527+AF138526+AF138525+AF138524+AF138523+AF138522+AF138521+AF138520+AF138519-AY348496+AY348495+AY348494+AY348493+AY348492+AY348491+AY348490+AY348489+AY348488+AY348487+AY348486+AY348485+AY348484+AY348483+AY348482+AY348481+AY348480+AY348479+AY348478-AY348512+AY348511+AY348510+AY348509+AY348508+AY348507+AY348506+AY348505+AY348504+AY348503+AY348502+AY348501+AY348500+AY348499+AY348498+AY348497-AY348528+AY348527+AY348526+AY348525+AY348524+AY348523+AY348522+AY348521+AY348520+AY348519+AY348518+AY348517+AY348516+AY348515+AY348514+AY348513,201,12.5625,91,3437,3346,222,764
105692+1+B,2,81-261-444-627-990-1326-1689-2055-2419-2788-2970,11,MF779458+MF779457+MF779456+MF779455+MF779454+MF779453+MF779452+MF779451-MF779461+MF779460+MF779459-MF779483+MF779482+MF779481+MF779480+MF779479+MF779478+MF779477+MF779476+MF779475+MF779474+MF779473+MF779472+MF779471+MF779470+MF779469+MF779468+MF779467+MF779466+MF779465+MF779464+MF779463+MF779462-MF779494+MF779493+MF779492+MF779491+MF779490+MF779489+MF779488+MF779487+MF779486+MF779485+MF779484-MF779518+MF779517+MF779516+MF779515+MF779514+MF779513+MF779512+MF779511+MF779510+MF779509+MF779508+MF779507+MF779506+MF779505+MF779504+MF779503+MF779502+MF779501+MF779500+MF779499+MF779498+MF779497+MF779496+MF779495-MF779541+MF779540+MF779539+MF779538+MF779537+MF779536+MF779535+MF779534+MF779533+MF779532+MF779531+MF779530+MF779529+MF779528+MF779527+MF779526+MF779525+MF779524+MF779523+MF779522+MF779521+MF779520+MF779519-MF779562+MF779561+MF779560+MF779559+MF779558+MF779557+MF779556+MF779555+MF779554+MF779553+MF779552+MF779551+MF779550+MF779549+MF779548+MF779547+MF779546+MF779545+MF779544+MF779543+MF779542-MF779583+MF779582+MF779581+MF779580+MF779579+MF779578+MF779577+MF779576+MF779575+MF779574+MF779573+MF779572+MF779571+MF779570+MF779569+MF779568+MF779567+MF779566+MF779565+MF779564+MF779563-MF779605+MF779604+MF779603+MF779602+MF779601+MF779600+MF779599+MF779598+MF779597+MF779596+MF779595+MF779594+MF779593+MF779592+MF779591+MF779590+MF779589+MF779588+MF779587+MF779586+MF779585+MF779584-MF779626+MF779625+MF779624+MF779623+MF779622+MF779621+MF779620+MF779619+MF779618+MF779617+MF779616+MF779615+MF779614+MF779613+MF779612+MF779611+MF779610+MF779609+MF779608+MF779607+MF779606-MF779647+MF779646+MF779645+MF779644+MF779642+MF779641+MF779640+MF779639+MF779638+MF779637+MF779636+MF779635+MF779634+MF779633+MF779632+MF779631+MF779630+MF779629+MF779628+MF779627,196,17.8181818181818,81,2970,2889,174,1712
105692+197+B,2,81-261-444-627-990-1326-1689-2055-2419-2788-2970,11,MF777711+MF777710+MF777709+MF777708+MF777707-MF777718+MF777717+MF777716+MF777715+MF777714+MF777713+MF777712-MF777741+MF777740+MF777739+MF777738+MF777737+MF777736+MF777735+MF777734+MF777733+MF777732+MF777731+MF777730+MF777729+MF777728+MF777727+MF777726+MF777725+MF777724+MF777723+MF777722+MF777721+MF777720+MF777719-MF777745+MF777744+MF777743+MF777742-MF777773+MF777772+MF777771+MF777770+MF777769+MF777768+MF777767+MF777766+MF777765+MF777764+MF777763+MF777762+MF777761+MF777760+MF777759+MF777758+MF777757+MF777756+MF777755+MF777754+MF777753+MF777752+MF777751+MF777750+MF777749+MF777748+MF777747+MF777746-MF777796+MF777795+MF777794+MF777793+MF777792+MF777791+MF777790+MF777789+MF777788+MF777787+MF777786+MF777785+MF777784+MF777783+MF777782+MF777781+MF777780+MF777779+MF777778+MF777777+MF777776+MF777775+MF777774-MF777816+MF777815+MF777814+MF777813+MF777812+MF777811+MF777810+MF777809+MF777808+MF777807+MF777806+MF777805+MF777804+MF777803+MF777802+MF777801+MF777800+MF777799+MF777798+MF777797-MF777836+MF777835+MF777834+MF777833+MF777832+MF777831+MF777830+MF777829+MF777828+MF777827+MF777826+MF777825+MF777824+MF777823+MF777822+MF777821+MF777820+MF777819+MF777818+MF777817-MF777859+MF777858+MF777857+MF777856+MF777855+MF777854+MF777853+MF777852+MF777851+MF777850+MF777849+MF777848+MF777847+MF777846+MF777845+MF777844+MF777843+MF777842+MF777841+MF777840+MF777839+MF777838+MF777837-MF777881+MF777880+MF777879+MF777878+MF777877+MF777876+MF777875+MF777874+MF777873+MF777872+MF777871+MF777870+MF777869+MF777868+MF777867+MF777866+MF777865+MF777864+MF777863+MF777862+MF777861+MF777860-MF777903+MF777902+MF777901+MF777900+MF777899+MF777898+MF777897+MF777896+MF777895+MF777894+MF777893+MF777892+MF777891+MF777890+MF777889+MF777888+MF777887+MF777886+MF777885+MF777884+MF777883+MF777882,197,17.9090909090909,81,2970,2889,308,1802
105693+1+B,2,89-255-438-788-1950-2146-2902-3259-3616,9,MF780403+MF780402+MF780401+MF780400+MF780399+MF780398+MF780397+MF780396+MF780395+MF780394+MF780393+MF780392+MF780391+MF780390+MF780389+MF780388+MF780387+MF780386+MF780385+MF780384+MF780383+MF780382-MF780424+MF780423+MF780422+MF780421+MF780420+MF780419+MF780418+MF780417+MF780416+MF780415+MF780414+MF780413+MF780412+MF780411+MF780410+MF780409+MF780408+MF780407+MF780406+MF780405+MF780404-MF780450+MF780449+MF780448+MF780447+MF780446+MF780445+MF780444+MF780443+MF780442+MF780441+MF780440+MF780439+MF780438+MF780437+MF780436+MF780435+MF780434+MF780433+MF780432+MF780431+MF780430+MF780429+MF780428+MF780427+MF780426+MF780425-MF780470+MF780469+MF780468+MF780467+MF780466+MF780465+MF780464+MF780463+MF780462+MF780461+MF780460+MF780459+MF780458+MF780457+MF780456+MF780455+MF780454+MF780453+MF780452+MF780451-MF780491+MF780490+MF780489+MF780488+MF780487+MF780486+MF780485+MF780484+MF780483+MF780482+MF780481+MF780480+MF780479+MF780478+MF780477+MF780476+MF780475+MF780474+MF780473+MF780472+MF780471-MF780516+MF780515+MF780514+MF780513+MF780512+MF780511+MF780510+MF780509+MF780508+MF780507+MF780506+MF780505+MF780504+MF780503+MF780502+MF780501+MF780500+MF780499+MF780498+MF780497+MF780496+MF780495+MF780494+MF780493+MF780492-MF780538+MF780537+MF780536+MF780535+MF780534+MF780533+MF780532+MF780531+MF780530+MF780529+MF780528+MF780527+MF780526+MF780525+MF780524+MF780523+MF780522+MF780521+MF780520+MF780519+MF780518+MF780517-MF780559+MF780558+MF780557+MF780556+MF780555+MF780554+MF780553+MF780552+MF780551+MF780550+MF780549+MF780548+MF780547+MF780546+MF780545+MF780544+MF780543+MF780542+MF780541+MF780540+MF780539-MF780582+MF780581+MF780580+MF780579+MF780578+MF780577+MF780576+MF780575+MF780574+MF780573+MF780572+MF780571+MF780570+MF780569+MF780568+MF780567+MF780566+MF780565+MF780564+MF780563+MF780562+MF780561+MF780560,201,22.3333333333333,89,3616,3527,190,1754
105693+202+B,2,89-255-438-788-1950-2146-2902-3259-3616,9,MF778608+MF778607+MF778606+MF778605+MF778604+MF778603+MF778602+MF778601+MF778600+MF778599+MF778598+MF778597+MF778596+MF778595+MF778594+MF778593+MF778592+MF778591+MF778590+MF778589-MF778630+MF778629+MF778628+MF778627+MF778626+MF778625+MF778624+MF778623+MF778622+MF778621+MF778620+MF778619+MF778618+MF778617+MF778616+MF778615+MF778614+MF778613+MF778612+MF778611+MF778610+MF778609-MF778651+MF778650+MF778649+MF778648+MF778647+MF778646+MF778645+MF778644+MF778643+MF778642+MF778641+MF778640+MF778639+MF778638+MF778637+MF778636+MF778635+MF778634+MF778633+MF778632+MF778631-MF778673+MF778672+MF778671+MF778670+MF778669+MF778668+MF778667+MF778666+MF778665+MF778664+MF778663+MF778662+MF778661+MF778660+MF778659+MF778658+MF778657+MF778656+MF778655+MF778654+MF778653+MF778652-MF778693+MF778692+MF778691+MF778690+MF778689+MF778688+MF778687+MF778686+MF778685+MF778684+MF778683+MF778682+MF778681+MF778680+MF778679+MF778678+MF778677+MF778676+MF778675+MF778674-MF778713+MF778712+MF778711+MF778710+MF778709+MF778708+MF778707+MF778706+MF778705+MF778704+MF778703+MF778702+MF778701+MF778700+MF778699+MF778698+MF778697+MF778696+MF778695+MF778694-MF778737+MF778736+MF778735+MF778734+MF778733+MF778732+MF778731+MF778730+MF778729+MF778728+MF778727+MF778726+MF778725+MF778724+MF778723+MF778722+MF778721+MF778720+MF778719+MF778718+MF778717+MF778716+MF778715+MF778714-MF778758+MF778757+MF778756+MF778755+MF778754+MF778753+MF778752+MF778751+MF778750+MF778749+MF778748+MF778747+MF778746+MF778745+MF778744+MF778743+MF778742+MF778741+MF778740+MF778739+MF778738-MF778778+MF778777+MF778776+MF778775+MF778774+MF778773+MF778772+MF778771+MF778770+MF778769+MF778768+MF778767+MF778766+MF778765+MF778764+MF778763+MF778762+MF778761+MF778760+MF778759,190,21.1111111111111,89,3616,3527,401,1900
105695+1+B,2,87-281-681-862-1284-1542-1922-2276,8,MF779669+MF779668+MF779667+MF779666+MF779665+MF779664+MF779663+MF779662+MF779661+MF779660+MF779659+MF779658+MF779657+MF779656+MF779655+MF779654+MF779653+MF779652+MF779651+MF779650+MF779649+MF779648-MF779690+MF779689+MF779688+MF779687+MF779686+MF779685+MF779684+MF779683+MF779682+MF779681+MF779680+MF779679+MF779678+MF779677+MF779676+MF779675+MF779674+MF779673+MF779672+MF779671+MF779670-MF779712+MF779711+MF779710+MF779709+MF779708+MF779707+MF779706+MF779705+MF779704+MF779703+MF779702+MF779701+MF779700+MF779699+MF779698+MF779697+MF779696+MF779695+MF779694+MF779693+MF779692+MF779691-MF779739+MF779738+MF779737+MF779736+MF779735+MF779734+MF779733+MF779732+MF779731+MF779730+MF779729+MF779728+MF779727+MF779726+MF779725+MF779724+MF779723+MF779722+MF779721+MF779720+MF779719+MF779718+MF779717+MF779716+MF779715+MF779714+MF779713-MF779760+MF779759+MF779758+MF779757+MF779756+MF779755+MF779754+MF779753+MF779752+MF779751+MF779750+MF779749+MF779748+MF779747+MF779746+MF779745+MF779744+MF779743+MF779742+MF779741+MF779740-MF779782+MF779781+MF779780+MF779779+MF779778+MF779777+MF779776+MF779775+MF779774+MF779773+MF779772+MF779771+MF779770+MF779769+MF779768+MF779767+MF779766+MF779765+MF779764+MF779763+MF779762+MF779761-MF779806+MF779805+MF779804+MF779803+MF779802+MF779801+MF779800+MF779799+MF779798+MF779797+MF779796+MF779795+MF779794+MF779793+MF779792+MF779791+MF779790+MF779789+MF779788+MF779787+MF779786+MF779785+MF779784+MF779783-MF779827+MF779826+MF779825+MF779824+MF779823+MF779822+MF779821+MF779820+MF779819+MF779818+MF779817+MF779816+MF779815+MF779814+MF779813+MF779812+MF779811+MF779810+MF779809+MF779808+MF779807,180,22.5,87,2276,2189,188,1698
105695+181+B,2,87-281-681-862-1284-1542-1922-2276,8,MF777923+MF777922+MF777921+MF777920+MF777919+MF777918+MF777917+MF777916+MF777915+MF777914+MF777913+MF777912+MF777911+MF777910+MF777909+MF777908+MF777907+MF777906+MF777905+MF777904-MF777947+MF777946+MF777945+MF777944+MF777943+MF777942+MF777941+MF777940+MF777939+MF777938+MF777937+MF777936+MF777935+MF777934+MF777933+MF777932+MF777931+MF777930+MF777929+MF777928+MF777927+MF777926+MF777925+MF777924-MF777970+MF777969+MF777968+MF777967+MF777966+MF777965+MF777964+MF777963+MF777962+MF777961+MF777960+MF777959+MF777958+MF777957+MF777956+MF777955+MF777954+MF777953+MF777952+MF777951+MF777950+MF777949+MF777948-MF777993+MF777992+MF777991+MF777990+MF777989+MF777988+MF777987+MF777986+MF777985+MF777984+MF777983+MF777982+MF777981+MF777980+MF777979+MF777978+MF777977+MF777976+MF777975+MF777974+MF777973+MF777972+MF777971-MF778013+MF778012+MF778011+MF778010+MF778009+MF778008+MF778007+MF778006+MF778005+MF778004+MF778003+MF778002+MF778001+MF778000+MF777999+MF777998+MF777997+MF777996+MF777995+MF777994-MF778036+MF778035+MF778034+MF778033+MF778032+MF778031+MF778030+MF778029+MF778028+MF778027+MF778026+MF778025+MF778024+MF778023+MF778022+MF778021+MF778020+MF778019+MF778018+MF778017+MF778016+MF778015+MF778014-MF778056+MF778055+MF778054+MF778053+MF778052+MF778051+MF778050+MF778049+MF778048+MF778047+MF778046+MF778045+MF778044+MF778043+MF778042+MF778041+MF778040+MF778039+MF778038+MF778037-MF778076+MF778075+MF778074+MF778073+MF778072+MF778071+MF778070+MF778069+MF778068+MF778067+MF778066+MF778065+MF778064+MF778063+MF778062+MF778061+MF778060+MF778059+MF778058+MF778057,173,21.625,87,2276,2189,343,1760
105696+1+B,2,-92-92-274-442-624-986-1343-1833-2017,9,MF779080+MF779079+MF779078+MF779077+MF779076+MF779075+MF779074+MF779073+MF779072+MF779071+MF779070+MF779069+MF779068+MF779067+MF779066+MF779065+MF779064+MF779063+MF779062+MF779061+MF779060+MF779059+MF779058-MF779103+MF779102+MF779101+MF779100+MF779099+MF779098+MF779097+MF779096+MF779095+MF779094+MF779093+MF779092+MF779091+MF779090+MF779089+MF779088+MF779087+MF779086+MF779085+MF779084+MF779083+MF779082+MF779081-MF779129+MF779128+MF779127+MF779126+MF779125+MF779124+MF779123+MF779122+MF779121+MF779120+MF779119+MF779118+MF779117+MF779116+MF779115+MF779114+MF779113+MF779112+MF779111+MF779110+MF779109+MF779108+MF779107+MF779106+MF779105+MF779104-MF779150+MF779149+MF779148+MF779147+MF779146+MF779145+MF779144+MF779143+MF779142+MF779141+MF779140+MF779139+MF779138+MF779137+MF779136+MF779135+MF779134+MF779133+MF779132+MF779131+MF779130-MF779176+MF779175+MF779174+MF779173+MF779172+MF779171+MF779170+MF779169+MF779168+MF779167+MF779166+MF779165+MF779164+MF779163+MF779162+MF779161+MF779160+MF779159+MF779158+MF779157+MF779156+MF779155+MF779154+MF779153+MF779152+MF779151-MF779200+MF779199+MF779198+MF779197+MF779196+MF779195+MF779194+MF779193+MF779192+MF779191+MF779190+MF779189+MF779188+MF779187+MF779186+MF779185+MF779184+MF779183+MF779182+MF779181+MF779180+MF779179+MF779178+MF779177-MF779222+MF779221+MF779220+MF779219+MF779218+MF779217+MF779216+MF779215+MF779214+MF779213+MF779212+MF779211+MF779210+MF779209+MF779208+MF779207+MF779206+MF779205+MF779204+MF779203+MF779202+MF779201-MF779242+MF779241+MF779240+MF779239+MF779238+MF779237+MF779236+MF779235+MF779234+MF779233+MF779232+MF779231+MF779230+MF779229+MF779228+MF779227+MF779226+MF779225+MF779224+MF779223-MF779263+MF779262+MF779261+MF779260+MF779259+MF779258+MF779257+MF779256+MF779255+MF779254+MF779253+MF779252+MF779251+MF779250+MF779249+MF779248+MF779247+MF779246+MF779245+MF779244+MF779243,206,22.8888888888889,-92,2017,2109,113,1691
105696+207+B,2,-92-92-274-442-624-986-1343-1833-2017,9,MF777345+MF777344+MF777343+MF777342+MF777341+MF777340+MF777339+MF777338+MF777337+MF777336+MF777335+MF777334+MF777333+MF777332+MF777331+MF777330+MF777329+MF777328+MF777327+MF777326+MF777325+MF777324-MF777371+MF777370+MF777369+MF777368+MF777367+MF777366+MF777365+MF777364+MF777363+MF777362+MF777361+MF777360+MF777359+MF777358+MF777357+MF777356+MF777355+MF777354+MF777353+MF777352+MF777351+MF777350+MF777349+MF777348+MF777347+MF777346-MF777395+MF777394+MF777393+MF777392+MF777391+MF777390+MF777389+MF777388+MF777387+MF777386+MF777385+MF777384+MF777383+MF777382+MF777381+MF777380+MF777379+MF777378+MF777377+MF777376+MF777375+MF777374+MF777373+MF777372-MF777415+MF777414+MF777413+MF777412+MF777411+MF777410+MF777409+MF777408+MF777407+MF777406+MF777405+MF777404+MF777403+MF777402+MF777401+MF777400+MF777399+MF777398+MF777397+MF777396-MF777446+MF777445+MF777444+MF777443+MF777442+MF777441+MF777440+MF777439+MF777438+MF777437+MF777436+MF777435+MF777434+MF777433+MF777432+MF777431+MF777430+MF777429+MF777428+MF777427+MF777426+MF777425+MF777424+MF777423+MF777422+MF777421+MF777420+MF777419+MF777418+MF777417+MF777416-MF777470+MF777469+MF777468+MF777467+MF777466+MF777465+MF777464+MF777463+MF777462+MF777461+MF777460+MF777459+MF777458+MF777457+MF777456+MF777455+MF777454+MF777453+MF777452+MF777451+MF777450+MF777449+MF777448+MF777447-MF777492+MF777491+MF777490+MF777489+MF777488+MF777487+MF777486+MF777485+MF777484+MF777483+MF777482+MF777481+MF777480+MF777479+MF777478+MF777477+MF777476+MF777475+MF777474+MF777473+MF777472+MF777471-MF777512+MF777511+MF777510+MF777509+MF777508+MF777507+MF777506+MF777505+MF777504+MF777503+MF777502+MF777501+MF777500+MF777499+MF777498+MF777497+MF777496+MF777495+MF777494+MF777493-MF777533+MF777532+MF777531+MF777530+MF777529+MF777528+MF777527+MF777526+MF777525+MF777524+MF777523+MF777522+MF777521+MF777520+MF777519+MF777518+MF777517+MF777516+MF777515+MF777514+MF777513,210,23.3333333333333,-92,2017,2109,288,1757
